time,month,hours_after_sunset,bat_landing_number,food_availability,rat_minutes,rat_arrival_number
26/12/2017 16:13,0,-0.5,20,4,0,0
26/12/2017 16:43,0,0,28,4,0,0
26/12/2017 17:13,0,0.5,25,4,0,0
26/12/2017 17:43,0,1,71,4,0,0
26/12/2017 18:13,0,1.5,44,3.753856942,0,0
26/12/2017 18:43,0,2,44,3.147265077,0,0
26/12/2017 19:13,0,2.5,41,3,0,0
26/12/2017 19:43,0,3,54,3,0,0
26/12/2017 20:13,0,3.5,32,3,0,0
26/12/2017 20:43,0,4,51,2.968873797,1.283333333,2
26/12/2017 21:13,0,4.5,53,2.561403509,4.866666667,1
26/12/2017 21:43,0,5,47,2.086587436,7.9,1
26/12/2017 22:13,0,5.5,75,2,0.133333333,1
26/12/2017 22:43,0,6,45,1.958064516,0,0
26/12/2017 23:13,0,6.5,30,1.55,0,0
26/12/2017 23:43,0,7,44,1.049289229,0,0
27/12/2017 0:13,0,7.5,30,0.542372881,0,0
27/12/2017 0:43,0,8,26,0.144067797,0,0
27/12/2017 1:13,0,8.5,16,0,6.683333333,1
27/12/2017 1:43,0,9,13,0,0.016666667,1
27/12/2017 2:13,0,9.5,17,0,0,0
27/12/2017 2:43,0,10,15,0,0,0
27/12/2017 3:13,0,10.5,14,0,0,0
27/12/2017 3:43,0,11,13,0,0,0
27/12/2017 16:13,0,-0.5,13,4,0,0
27/12/2017 16:43,0,0,18,4,0,0
27/12/2017 17:13,0,0.5,31,4,0,0
27/12/2017 17:43,0,1,35,4,0,0
27/12/2017 18:13,0,1.5,22,4,0,0
27/12/2017 18:43,0,2,24,3.964516129,0,0
27/12/2017 19:13,0,2.5,30,3.566666667,0,0
27/12/2017 19:43,0,3,73,3.102150538,0,0
27/12/2017 20:13,0,3.5,67,3,0,0
27/12/2017 20:43,0,4,2,3,0,0
27/12/2017 21:13,0,4.5,25,3,0,0
27/12/2017 21:43,0,5,48,2.970430108,0,0
27/12/2017 22:13,0,5.5,52,2.583333333,0,0
27/12/2017 22:43,0,6,61,2.112903226,0,0
27/12/2017 23:13,0,6.5,17,2,0,0
27/12/2017 23:43,0,7,12,2,0,0
28/12/2017 0:13,0,7.5,11,2,0,0
28/12/2017 0:43,0,8,34,1.953405018,4.166666667,1
28/12/2017 1:13,0,8.5,40,1.555555556,0,0
28/12/2017 1:43,0,9,37,1.107526882,0,0
28/12/2017 2:13,0,9.5,34,1,0,0
28/12/2017 2:43,0,10,23,1,0,0
28/12/2017 3:13,0,10.5,21,1,0,0
28/12/2017 3:43,0,11,5,0.971774194,16.01666667,1
28/12/2017 4:13,0,11.5,11,0.730769231,0.883333333,1
28/12/2017 4:43,0,12,3,0.442307692,0,0
28/12/2017 16:14,0,-0.5,8,4,0,0
28/12/2017 16:44,0,0,3,4,0,0
28/12/2017 17:14,0,0.5,24,4,0,0
28/12/2017 17:44,0,1,23,4,0,0
28/12/2017 18:14,0,1.5,48,4,0,0
28/12/2017 18:44,0,2,55,3.962648557,0,0
28/12/2017 19:14,0,2.5,23,3.543859649,8.1,1
28/12/2017 19:44,0,3,23,3.07696661,2.5,1
28/12/2017 20:14,0,3.5,32,3,0,0
28/12/2017 20:44,0,4,29,3,0,0
28/12/2017 21:14,0,4.5,50,3,0,0
28/12/2017 21:44,0,5,49,2.951877314,0,0
28/12/2017 22:14,0,5.5,57,2.540983607,0,0
28/12/2017 22:44,0,6,66,2.090428345,0,0
28/12/2017 23:14,0,6.5,52,2,0,0
28/12/2017 23:44,0,7,42,2,0,0
29/12/2017 0:14,0,7.5,29,2,0,0
29/12/2017 0:44,0,8,38,1.951075269,0,0
29/12/2017 1:14,0,8.5,44,1.533333333,0,0
29/12/2017 1:44,0,9,23,1.082258065,0,0
29/12/2017 2:14,0,9.5,25,1,0,0
29/12/2017 2:44,0,10,31,0.947076613,0,0
29/12/2017 3:14,0,10.5,24,0.546875,0,0
29/12/2017 3:44,0,11,18,0.15625,0.9,1
29/12/2017 4:14,0,11.5,3,0,0,0
29/12/2017 4:44,0,12,6,0,0,0
29/12/2017 14:45,0,-2,7,4,0,0
29/12/2017 15:15,0,-1.5,1,4,0,0
29/12/2017 15:45,0,-1,1,4,0,0
29/12/2017 16:15,0,-0.5,6,4,0,0
29/12/2017 16:45,0,0,7,4,0,0
29/12/2017 17:15,0,0.5,14,4,0,0
29/12/2017 17:45,0,1,14,4,0,0
29/12/2017 18:15,0,1.5,9,4,6.783333333,1
29/12/2017 18:45,0,2,19,3.949388209,0,0
29/12/2017 19:15,0,2.5,26,3.517241379,0,0
29/12/2017 19:45,0,3,29,3.066740823,0,0
29/12/2017 20:15,0,3.5,15,3,0,0
29/12/2017 20:45,0,4,67,3,0,0
29/12/2017 21:15,0,4.5,56,3,0,0
29/12/2017 21:45,0,5,45,3,0,0
29/12/2017 22:15,0,5.5,60,3,0,0
29/12/2017 22:45,0,6,59,3,0,0
29/12/2017 23:15,0,6.5,40,3,8.883333333,1
29/12/2017 23:45,0,7,49,2.939516129,0,0
30/12/2017 0:15,0,7.5,42,2.53125,0,0
30/12/2017 0:45,0,8,39,2.057747696,0,0
30/12/2017 1:15,0,8.5,47,1.535714286,0,0
30/12/2017 1:45,0,9,30,1.069124424,0,0
30/12/2017 2:15,0,9.5,41,1,0,0
30/12/2017 2:45,0,10,34,1,0,0
30/12/2017 3:15,0,10.5,23,1,0,0
30/12/2017 3:45,0,11,13,0.943074004,0,0
30/12/2017 4:15,0,11.5,16,0.558823529,0,0
30/12/2017 4:45,0,12,7,0.169117647,0,0
30/12/2017 5:15,0,12.5,7,0,0,0
30/12/2017 5:45,0,13,5,0,0,0
30/12/2017 6:15,0,13.5,1,0,0,0
30/12/2017 14:45,0,-2,10,0,0,0
30/12/2017 15:15,0,-1.5,14,0,0,0
30/12/2017 15:45,0,-1,3,0,0,0
30/12/2017 16:15,0,-0.5,3,0,0,0
30/12/2017 16:45,0,0,21,4,0,0
30/12/2017 17:15,0,0.5,32,4,0,0
30/12/2017 17:45,0,1,13,4,0,0
30/12/2017 18:15,0,1.5,36,4,3.283333333,1
30/12/2017 18:45,0,2,20,3.955857385,0,0
30/12/2017 19:15,0,2.5,35,3.526315789,0,0
30/12/2017 19:45,0,3,37,3.067911715,5,1
30/12/2017 20:15,0,3.5,33,3,0,0
30/12/2017 20:45,0,4,39,3,0,0
30/12/2017 21:15,0,4.5,25,3,0,0
30/12/2017 21:45,0,5,10,3,0,0
30/12/2017 22:15,0,5.5,64,3,0,0
30/12/2017 22:45,0,6,41,3,0,0
30/12/2017 23:15,0,6.5,5,3,0,0
30/12/2017 23:45,0,7,31,2.943548387,0,0
31/12/2017 0:15,0,7.5,45,2.516666667,0,0
31/12/2017 0:45,0,8,42,2.07311828,0,0
31/12/2017 1:15,0,8.5,53,2,0,0
31/12/2017 1:45,0,9,45,2,0,0
31/12/2017 2:15,0,9.5,27,2,0,0
