start_time,bat_landing_to_food,habit,rat_period_start,rat_period_end,seconds_after_rat_arrival,risk,reward,month,sunset_time,hours_after_sunset,season,rat_present_at_landing,rat_present_30s
2017-12-30 18:37:00,16.0,rat,2017-12-30 18:35:00,2017-12-30 18:38:00,108,1,0,0,30/12/2017 16:45,1.870833333,0,0,0
2017-12-30 19:51:00,0.074015603,fast,2017-12-30 19:50:00,2017-12-30 19:55:00,17,0,1,0,30/12/2017 16:45,3.100833333,0,0,1
2017-12-30 19:51:00,4.0,fast,2017-12-30 19:50:00,2017-12-30 19:55:00,41,0,1,0,30/12/2017 16:45,3.1075,0,0,0
2017-12-30 19:52:00,10.0,rat,2017-12-30 19:50:00,2017-12-30 19:55:00,111,1,0,0,30/12/2017 16:45,3.126944444,0,0,0
2017-12-30 19:54:00,15.0,rat,2017-12-30 19:50:00,2017-12-30 19:55:00,194,1,0,0,30/12/2017 16:45,3.15,0,0,0
2017-12-30 19:54:00,24.0,rat,2017-12-30 19:50:00,2017-12-30 19:55:00,215,1,0,0,30/12/2017 16:45,3.155833333,0,0,0
2017-12-30 19:54:00,13.0,rat,2017-12-30 19:50:00,2017-12-30 19:55:00,253,1,0,0,30/12/2017 16:45,3.166388889,0,0,0
2017-12-26 21:24:00,15.0,rat,2017-12-26 21:22:00,2017-12-26 21:27:00,88,1,0,0,26/12/2017 16:43,4.684444444,0,0,0
2017-12-26 21:24:00,6.0,pick,2017-12-26 21:22:00,2017-12-26 21:27:00,113,0,1,0,26/12/2017 16:43,4.691388889,0,0,0
2017-12-26 21:24:00,3.0,fast,2017-12-26 21:22:00,2017-12-26 21:27:00,121,0,1,0,26/12/2017 16:43,4.693611111,0,0,0
2017-12-26 21:24:00,5.0,pick,2017-12-26 21:22:00,2017-12-26 21:27:00,128,0,1,0,26/12/2017 16:43,4.695555556,0,0,0
2017-12-26 21:25:00,6.0,pick,2017-12-26 21:22:00,2017-12-26 21:27:00,153,0,1,0,26/12/2017 16:43,4.7025,0,0,0
2017-12-26 21:26:00,10.0,rat,2017-12-26 21:22:00,2017-12-26 21:27:00,208,1,0,0,26/12/2017 16:43,4.717777778,0,0,0
2017-12-26 21:26:00,1.0,bat_fight,2017-12-26 21:22:00,2017-12-26 21:27:00,216,1,0,0,26/12/2017 16:43,4.72,0,0,0
2017-12-27 01:35:00,2.0,rat_and_no_food,2017-12-27 01:34:00,2017-12-27 01:41:00,37,1,0,0,26/12/2017 16:43,8.8725,0,0,0
2017-12-26 20:57:00,5.0,,2017-12-26 20:53:00,2017-12-26 20:58:00,199,0,0,0,26/12/2017 16:43,4.2375,0,0,0
2017-12-26 20:57:00,1.0,,2017-12-26 20:53:00,2017-12-26 20:58:00,239,0,0,0,26/12/2017 16:43,4.248611111,0,0,0
2017-12-28 19:36:00,1.0,fast,2017-12-28 19:35:00,2017-12-28 19:46:00,14,0,1,0,28/12/2017 16:44,2.868888889,0,0,1
2017-12-28 19:36:00,2.0,rat,2017-12-28 19:35:00,2017-12-28 19:46:00,40,1,0,0,28/12/2017 16:44,2.876111111,0,0,0
2017-12-28 19:37:00,26.0,rat,2017-12-28 19:35:00,2017-12-28 19:46:00,68,1,0,0,28/12/2017 16:44,2.883888889,0,0,0
2017-12-28 19:44:00,5.0,rat_and_others,2017-12-28 19:35:00,2017-12-28 19:46:00,521,1,0,0,28/12/2017 16:44,3.009722222,0,0,0
2017-12-28 19:45:00,15.0,pick_and_others,2017-12-28 19:35:00,2017-12-28 19:46:00,564,1,1,0,28/12/2017 16:44,3.021666667,0,0,0
2017-12-28 19:46:00,24.0,rat,2017-12-28 19:35:00,2017-12-28 19:46:00,607,1,0,0,28/12/2017 16:44,3.033611111,0,0,0
2017-12-28 03:58:00,2.0,fast,2017-12-28 03:56:00,2017-12-28 04:13:00,107,0,1,0,27/12/2017 16:43,11.26277778,0,0,0
2017-12-28 04:02:00,2.0,fast,2017-12-28 03:56:00,2017-12-28 04:13:00,358,0,1,0,27/12/2017 16:43,11.3325,0,0,0
2017-12-28 04:11:00,1.0,,2017-12-28 03:56:00,2017-12-28 04:13:00,852,0,0,0,27/12/2017 16:43,11.46972222,0,0,0
2018-01-27 23:44:00,0.049410419,fast,2018-01-27 23:44:00,2018-01-27 23:50:00,12,0,1,1,27/01/2018 17:09,6.591111111,0,0,1
2018-01-27 23:44:00,1.0,fast,2018-01-27 23:44:00,2018-01-27 23:50:00,14,0,1,1,27/01/2018 17:09,6.591666667,0,0,1
2018-01-27 23:45:00,6.0,rat,2018-01-27 23:44:00,2018-01-27 23:50:00,49,1,0,1,27/01/2018 17:09,6.601388889,0,0,0
2018-01-27 23:45:00,3.0,fast,2018-01-27 23:44:00,2018-01-27 23:50:00,68,0,1,1,27/01/2018 17:09,6.606666667,0,0,0
2018-01-27 23:45:00,8.0,rat,2018-01-27 23:44:00,2018-01-27 23:50:00,84,1,0,1,27/01/2018 17:09,6.611111111,0,0,0
2018-01-27 23:46:00,31.0,rat,2018-01-27 23:44:00,2018-01-27 23:50:00,122,1,0,1,27/01/2018 17:09,6.621666667,0,0,0
2018-01-27 23:47:00,0.010695699,fast,2018-01-27 23:44:00,2018-01-27 23:50:00,186,0,1,1,27/01/2018 17:09,6.639444444,0,0,0
2018-01-27 23:48:00,2.0,fast,2018-01-27 23:44:00,2018-01-27 23:50:00,231,0,1,1,27/01/2018 17:09,6.651944444,0,0,0
2018-01-27 23:48:00,1.0,gaze,2018-01-27 23:44:00,2018-01-27 23:50:00,246,0,0,1,27/01/2018 17:09,6.656111111,0,0,0
2018-01-27 23:48:00,9.0,pick,2018-01-27 23:44:00,2018-01-27 23:50:00,253,0,1,1,27/01/2018 17:09,6.658055556,0,0,0
2018-01-27 23:50:00,6.0,pick,2018-01-27 23:44:00,2018-01-27 23:50:00,355,0,1,1,27/01/2018 17:09,6.686388889,0,0,0
2018-01-28 04:20:00,11.0,pick,2018-01-28 04:08:00,2018-01-28 04:20:00,742,0,1,1,27/01/2018 17:09,11.1975,0,0,0
2018-01-01 01:52:00,2.0,fast,2018-01-01 01:50:00,2018-01-01 01:55:00,115,0,1,1,31/12/2017 16:46,9.108333333,0,0,0
2018-01-31 19:44:00,3.0,rat,2018-01-31 19:41:00,2018-01-31 19:45:00,195,1,0,1,31/01/2018 17:13,2.522777778,0,0,0
2018-01-31 22:23:00,1.0,fast,2018-01-31 22:20:00,2018-01-31 22:24:00,168,0,1,1,31/01/2018 17:13,5.168333333,0,0,0
2018-10-01 23:34:00,4.0,,2018-10-01 23:32:00,2018-10-01 23:34:00,113,0,0,1,10/01/2018 16:54,6.673888889,0,0,0
2018-10-01 04:12:00,1.0,rat,2018-10-01 04:07:00,2018-10-01 04:15:00,306,1,0,1,9/01/2018 16:53,11.32222222,0,0,0
2018-01-28 19:56:00,1.0,fast,2018-01-28 19:56:00,2018-01-28 20:10:00,9,0,1,1,28/01/2018 17:10,2.770833333,0,0,1
2018-01-28 20:03:00,1.0,rat,2018-01-28 19:56:00,2018-01-28 20:10:00,456,1,0,1,28/01/2018 17:10,2.895,0,0,0
2018-01-28 20:04:00,0.035319187,rat,2018-01-28 19:56:00,2018-01-28 20:10:00,528,1,0,1,28/01/2018 17:10,2.915,0,0,0
2018-01-28 20:05:00,1.0,rat,2018-01-28 19:56:00,2018-01-28 20:10:00,534,1,0,1,28/01/2018 17:10,2.916666667,0,0,0
2018-01-28 20:05:00,7.0,pick_rat,2018-01-28 19:56:00,2018-01-28 20:10:00,545,1,1,1,28/01/2018 17:10,2.919722222,0,0,0
2018-01-28 20:05:00,1.0,fast,2018-01-28 19:56:00,2018-01-28 20:10:00,551,0,1,1,28/01/2018 17:10,2.921388889,0,0,0
2018-01-28 20:05:00,0.034803066,fast,2018-01-28 19:56:00,2018-01-28 20:10:00,569,0,1,1,28/01/2018 17:10,2.926388889,0,0,0
2018-01-28 20:05:00,1.0,rat,2018-01-28 19:56:00,2018-01-28 20:10:00,583,1,0,1,28/01/2018 17:10,2.930277778,0,0,0
2018-01-28 20:05:00,1.0,fast,2018-01-28 19:56:00,2018-01-28 20:10:00,589,0,1,1,28/01/2018 17:10,2.931944444,0,0,0
2018-01-28 20:06:00,2.0,fast,2018-01-28 19:56:00,2018-01-28 20:10:00,627,0,1,1,28/01/2018 17:10,2.9425,0,0,0
2018-01-28 20:06:00,1.0,fast,2018-01-28 19:56:00,2018-01-28 20:10:00,631,0,1,1,28/01/2018 17:10,2.943611111,0,0,0
2018-01-28 20:06:00,4.0,fast,2018-01-28 19:56:00,2018-01-28 20:10:00,642,0,1,1,28/01/2018 17:10,2.946666667,0,0,0
2018-01-28 20:08:00,4.0,pick,2018-01-28 19:56:00,2018-01-28 20:10:00,720,0,1,1,28/01/2018 17:10,2.968333333,0,0,0
