time,month,hours_after_sunset,bat_landing_number,food_availability,rat_minutes,rat_arrival_number
2017-12-26 16:13:00,0,-0.5,20,4.0,0.0,0
2017-12-26 16:43:00,0,0.0,28,4.0,0.0,0
2017-12-26 17:13:00,0,0.5,25,4.0,0.0,0
2017-12-26 17:43:00,0,1.0,71,4.0,0.0,0
2017-12-26 18:13:00,0,1.5,44,3.753856942,0.0,0
2017-12-26 18:43:00,0,2.0,44,3.147265077,0.0,0
2017-12-26 19:13:00,0,2.5,41,3.0,0.0,0
2017-12-26 19:43:00,0,3.0,54,3.0,0.0,0
2017-12-26 20:13:00,0,3.5,32,3.0,0.0,0
2017-12-26 20:43:00,0,4.0,51,2.968873797,1.283333333,2
2017-12-26 21:13:00,0,4.5,53,2.561403509,4.866666667,1
2017-12-26 21:43:00,0,5.0,47,2.086587436,7.9,1
2017-12-26 22:13:00,0,5.5,75,2.0,0.133333333,1
2017-12-26 22:43:00,0,6.0,45,1.958064516,0.0,0
2017-12-26 23:13:00,0,6.5,30,1.55,0.0,0
2017-12-26 23:43:00,0,7.0,44,1.049289229,0.0,0
2017-12-27 00:13:00,0,7.5,30,0.542372881,0.0,0
2017-12-27 00:43:00,0,8.0,26,0.144067797,0.0,0
2017-12-27 01:13:00,0,8.5,16,0.0,6.683333333,1
2017-12-27 01:43:00,0,9.0,13,0.0,0.016666667,1
2017-12-27 02:13:00,0,9.5,17,0.0,0.0,0
2017-12-27 02:43:00,0,10.0,15,0.0,0.0,0
2017-12-27 03:13:00,0,10.5,14,0.0,0.0,0
2017-12-27 03:43:00,0,11.0,13,0.0,0.0,0
2017-12-27 16:13:00,0,-0.5,13,4.0,0.0,0
2017-12-27 16:43:00,0,0.0,18,4.0,0.0,0
2017-12-27 17:13:00,0,0.5,31,4.0,0.0,0
2017-12-27 17:43:00,0,1.0,35,4.0,0.0,0
2017-12-27 18:13:00,0,1.5,22,4.0,0.0,0
2017-12-27 18:43:00,0,2.0,24,3.964516129,0.0,0
2017-12-27 19:13:00,0,2.5,30,3.566666667,0.0,0
2017-12-27 19:43:00,0,3.0,73,3.102150538,0.0,0
2017-12-27 20:13:00,0,3.5,67,3.0,0.0,0
2017-12-27 20:43:00,0,4.0,2,3.0,0.0,0
2017-12-27 21:13:00,0,4.5,25,3.0,0.0,0
2017-12-27 21:43:00,0,5.0,48,2.970430108,0.0,0
2017-12-27 22:13:00,0,5.5,52,2.583333333,0.0,0
2017-12-27 22:43:00,0,6.0,61,2.112903226,0.0,0
2017-12-27 23:13:00,0,6.5,17,2.0,0.0,0
2017-12-27 23:43:00,0,7.0,12,2.0,0.0,0
2017-12-28 00:13:00,0,7.5,11,2.0,0.0,0
2017-12-28 00:43:00,0,8.0,34,1.953405018,4.166666667,1
2017-12-28 01:13:00,0,8.5,40,1.555555556,0.0,0
2017-12-28 01:43:00,0,9.0,37,1.107526882,0.0,0
2017-12-28 02:13:00,0,9.5,34,1.0,0.0,0
2017-12-28 02:43:00,0,10.0,23,1.0,0.0,0
2017-12-28 03:13:00,0,10.5,21,1.0,0.0,0
2017-12-28 03:43:00,0,11.0,5,0.971774194,16.01666667,1
2017-12-28 04:13:00,0,11.5,11,0.730769231,0.883333333,1
2017-12-28 04:43:00,0,12.0,3,0.442307692,0.0,0
2017-12-28 16:14:00,0,-0.5,8,4.0,0.0,0
2017-12-28 16:44:00,0,0.0,3,4.0,0.0,0
2017-12-28 17:14:00,0,0.5,24,4.0,0.0,0
2017-12-28 17:44:00,0,1.0,23,4.0,0.0,0
2017-12-28 18:14:00,0,1.5,48,4.0,0.0,0
2017-12-28 18:44:00,0,2.0,55,3.962648557,0.0,0
2017-12-28 19:14:00,0,2.5,23,3.543859649,8.1,1
2017-12-28 19:44:00,0,3.0,23,3.07696661,2.5,1
2017-12-28 20:14:00,0,3.5,32,3.0,0.0,0
2017-12-28 20:44:00,0,4.0,29,3.0,0.0,0
2017-12-28 21:14:00,0,4.5,50,3.0,0.0,0
2017-12-28 21:44:00,0,5.0,49,2.951877314,0.0,0
2017-12-28 22:14:00,0,5.5,57,2.540983607,0.0,0
2017-12-28 22:44:00,0,6.0,66,2.090428345,0.0,0
2017-12-28 23:14:00,0,6.5,52,2.0,0.0,0
2017-12-28 23:44:00,0,7.0,42,2.0,0.0,0
2017-12-29 00:14:00,0,7.5,29,2.0,0.0,0
2017-12-29 00:44:00,0,8.0,38,1.951075269,0.0,0
2017-12-29 01:14:00,0,8.5,44,1.533333333,0.0,0
2017-12-29 01:44:00,0,9.0,23,1.082258065,0.0,0
2017-12-29 02:14:00,0,9.5,25,1.0,0.0,0
2017-12-29 02:44:00,0,10.0,31,0.947076613,0.0,0
2017-12-29 03:14:00,0,10.5,24,0.546875,0.0,0
2017-12-29 03:44:00,0,11.0,18,0.15625,0.9,1
2017-12-29 04:14:00,0,11.5,3,0.0,0.0,0
2017-12-29 04:44:00,0,12.0,6,0.0,0.0,0
2017-12-29 14:45:00,0,-2.0,7,4.0,0.0,0
2017-12-29 15:15:00,0,-1.5,1,4.0,0.0,0
2017-12-29 15:45:00,0,-1.0,1,4.0,0.0,0
2017-12-29 16:15:00,0,-0.5,6,4.0,0.0,0
2017-12-29 16:45:00,0,0.0,7,4.0,0.0,0
2017-12-29 17:15:00,0,0.5,14,4.0,0.0,0
2017-12-29 17:45:00,0,1.0,14,4.0,0.0,0
2017-12-29 18:15:00,0,1.5,9,4.0,6.783333333,1
2017-12-29 18:45:00,0,2.0,19,3.949388209,0.0,0
2017-12-29 19:15:00,0,2.5,26,3.517241379,0.0,0
2017-12-29 19:45:00,0,3.0,29,3.066740823,0.0,0
2017-12-29 20:15:00,0,3.5,15,3.0,0.0,0
2017-12-29 20:45:00,0,4.0,67,3.0,0.0,0
2017-12-29 21:15:00,0,4.5,56,3.0,0.0,0
2017-12-29 21:45:00,0,5.0,45,3.0,0.0,0
2017-12-29 22:15:00,0,5.5,60,3.0,0.0,0
2017-12-29 22:45:00,0,6.0,59,3.0,0.0,0
2017-12-29 23:15:00,0,6.5,40,3.0,8.883333333,1
2017-12-29 23:45:00,0,7.0,49,2.939516129,0.0,0
2017-12-30 00:15:00,0,7.5,42,2.53125,0.0,0
2017-12-30 00:45:00,0,8.0,39,2.057747696,0.0,0
2017-12-30 01:15:00,0,8.5,47,1.535714286,0.0,0
2017-12-30 01:45:00,0,9.0,30,1.069124424,0.0,0
2017-12-30 02:15:00,0,9.5,41,1.0,0.0,0
2017-12-30 02:45:00,0,10.0,34,1.0,0.0,0
2017-12-30 03:15:00,0,10.5,23,1.0,0.0,0
2017-12-30 03:45:00,0,11.0,13,0.943074004,0.0,0
2017-12-30 04:15:00,0,11.5,16,0.558823529,0.0,0
2017-12-30 04:45:00,0,12.0,7,0.169117647,0.0,0
2017-12-30 05:15:00,0,12.5,7,0.0,0.0,0
2017-12-30 05:45:00,0,13.0,5,0.0,0.0,0
2017-12-30 06:15:00,0,13.5,1,0.0,0.0,0
2017-12-30 14:45:00,0,-2.0,10,0.0,0.0,0
2017-12-30 15:15:00,0,-1.5,14,0.0,0.0,0
2017-12-30 15:45:00,0,-1.0,3,0.0,0.0,0
2017-12-30 16:15:00,0,-0.5,3,0.0,0.0,0
2017-12-30 16:45:00,0,0.0,21,4.0,0.0,0
2017-12-30 17:15:00,0,0.5,32,4.0,0.0,0
2017-12-30 17:45:00,0,1.0,13,4.0,0.0,0
2017-12-30 18:15:00,0,1.5,36,4.0,3.283333333,1
2017-12-30 18:45:00,0,2.0,20,3.955857385,0.0,0
2017-12-30 19:15:00,0,2.5,35,3.526315789,0.0,0
2017-12-30 19:45:00,0,3.0,37,3.067911715,5.0,1
2017-12-30 20:15:00,0,3.5,33,3.0,0.0,0
2017-12-30 20:45:00,0,4.0,39,3.0,0.0,0
2017-12-30 21:15:00,0,4.5,25,3.0,0.0,0
2017-12-30 21:45:00,0,5.0,10,3.0,0.0,0
2017-12-30 22:15:00,0,5.5,64,3.0,0.0,0
2017-12-30 22:45:00,0,6.0,41,3.0,0.0,0
2017-12-30 23:15:00,0,6.5,5,3.0,0.0,0
2017-12-30 23:45:00,0,7.0,31,2.943548387,0.0,0
2017-12-31 00:15:00,0,7.5,45,2.516666667,0.0,0
2017-12-31 00:45:00,0,8.0,42,2.07311828,0.0,0
2017-12-31 01:15:00,0,8.5,53,2.0,0.0,0
2017-12-31 01:45:00,0,9.0,45,2.0,0.0,0
2017-12-31 02:15:00,0,9.5,27,2.0,0.0,0
2017-12-31 02:45:00,0,10.0,24,1.957353745,0.0,0
2017-12-31 03:15:00,0,10.5,26,1.542372881,0.0,0
2017-12-31 03:45:00,0,11.0,17,1.083652269,0.0,0
2017-12-31 04:15:00,0,11.5,8,1.0,0.0,0
2017-12-31 04:45:00,0,12.0,12,1.0,0.0,0
2017-12-31 05:15:00,0,12.5,6,1.0,0.0,0
2017-12-31 06:15:00,0,13.5,5,1.0,0.0,0
2017-12-31 15:46:00,0,-1.0,1,4.0,0.0,0
2017-12-31 16:16:00,0,-0.5,15,4.0,0.0,0
2017-12-31 16:46:00,0,0.0,4,4.0,0.0,0
2017-12-31 17:16:00,0,0.5,3,4.0,0.0,0
2017-12-31 17:46:00,0,1.0,14,4.0,0.0,0
2017-12-31 18:16:00,0,1.5,14,3.723839496,0.0,0
2017-12-31 18:46:00,0,2.0,31,3.094413847,0.0,0
2017-12-31 19:16:00,0,2.5,22,3.0,0.0,0
2017-12-31 19:46:00,0,3.0,19,3.0,0.0,0
2017-12-31 20:16:00,0,3.5,29,3.0,0.0,0
2017-12-31 20:46:00,0,4.0,24,3.0,0.0,0
2017-12-31 21:16:00,0,4.5,38,3.0,0.0,0
2017-12-31 21:46:00,0,5.0,20,3.0,0.0,0
2017-12-31 22:16:00,0,5.5,17,3.0,0.0,0
2017-12-31 22:46:00,0,6.0,18,2.92688172,0.0,0
2017-12-31 23:16:00,0,6.5,28,2.483333333,0.0,0
2017-12-31 23:46:00,0,7.0,45,2.056451613,0.0,0
2018-01-01 00:16:00,1,7.5,34,2.0,0.0,0
2018-01-01 00:46:00,1,8.0,35,2.0,0.0,0
2018-01-01 01:16:00,1,8.5,31,2.0,0.0,0
2018-01-01 01:46:00,1,9.0,18,1.92688172,4.933333333,1
2018-01-01 02:16:00,1,9.5,27,1.483333333,0.0,0
2018-01-01 02:46:00,1,10.0,38,1.056451613,0.0,0
2018-01-01 03:16:00,1,10.5,54,1.0,0.0,0
2018-01-01 03:46:00,1,11.0,13,1.0,0.0,0
2018-01-01 04:16:00,1,11.5,8,1.0,0.0,0
2018-01-01 04:46:00,1,12.0,27,1.0,0.0,0
2018-01-01 05:16:00,1,12.5,22,1.0,0.0,0
2018-01-01 05:46:00,1,13.0,4,1.0,0.083333333,1
2018-01-01 06:16:00,1,13.5,2,0.0,0.0,0
2018-01-01 16:17:00,1,-0.5,9,4.0,0.0,0
2018-01-01 16:47:00,1,0.0,18,4.0,0.0,0
